"Country"	"Sector"
"XA510"	"Rodinia"	"Geeky"
"XA511"	"Vaalbara"	"Whimsical"
"XA515"	"Pangaea"	"Stodgy"
"XA516"	"Rodinia"	"Greedy"
"XA518"	"Rodinia"	"Sickly"
"XA519"	"Baltica"	"Whimsical"
"XA522"	"Gondwana"	"Greedy"
"XA525"	"Laurentia"	"Greedy"
"XA527"	"Baltica"	"Bustling"
"XA529"	"Pangaea"	"Greedy"
"XA530"	"Vaalbara"	"Geeky"
"XA532"	"Gondwana"	"Stodgy"
"XA535"	"Laurentia"	"Greedy"
"XA542"	"Pangaea"	"Whimsical"
"XA544"	"Baltica"	"Bustling"
"XA549"	"Laurentia"	"Stringy"
"XA553"	"Baltica"	"Geeky"
"XA555"	"Vaalbara"	"Geeky"
"XA556"	"Amasia"	"Stodgy"
"XA557"	"Baltica"	"Stringy"
"XA560"	"Rodinia"	"Greedy"
"XA561"	"Vaalbara"	"Stringy"
"XA565"	"Vaalbara"	"Whimsical"
"XA569"	"Amasia"	"Stringy"
"XA576"	"Rodinia"	"Bouncy"
"XA577"	"Rodinia"	"Palpable"
"XA578"	"Laurentia"	"Whimsical"
"XA579"	"Baltica"	"Geeky"
"XA584"	"Vaalbara"	"Greedy"
"XA585"	"Gondwana"	"Bouncy"
"XA586"	"Rodinia"	"Stringy"
"XA587"	"Baltica"	"Bustling"
"XA589"	"Baltica"	"Bustling"
"XA592"	"Amasia"	"Bustling"
"XA595"	"Baltica"	"Sickly"
"XA598"	"Rodinia"	"Greedy"
"XA602"	"Amasia"	"Sickly"
"XA604"	"Rodinia"	"Whimsical"
"XA605"	"Pangaea"	"Sickly"
"XA606"	"Baltica"	"Bouncy"
"XA607"	"Amasia"	"Palpable"
"XA609"	"Baltica"	"Greedy"
"XA614"	"Gondwana"	"Stodgy"
"XA615"	"Gondwana"	"Whimsical"
"XA618"	"Amasia"	"Whimsical"
"XA619"	"Vaalbara"	NA
"XA620"	"Amasia"	"Greedy"
"XA623"	"Rodinia"	"Greedy"
"XA624"	"Rodinia"	"Bustling"
"XA625"	"Amasia"	"Whimsical"
"XA626"	"Amasia"	"Greedy"
"XA629"	"Laurentia"	"Geeky"
"XA632"	"Rodinia"	"Whimsical"
"XA633"	"Laurentia"	"Whimsical"
"XA636"	"Pangaea"	"Whimsical"
"XA638"	"Amasia"	"Greedy"
"XA640"	"Gondwana"	"Greedy"
"XA642"	"Vaalbara"	"Greedy"
"XA643"	"Rodinia"	"Stodgy"
"XA650"	"Amasia"	"Geeky"
"XA651"	"Baltica"	"Stringy"
"XA652"	"Laurentia"	"Palpable"
"XA653"	"Pangaea"	"Palpable"
"XA654"	"Laurentia"	"Greedy"
"XA655"	"Vaalbara"	"Bustling"
"XA657"	"Gondwana"	NA
"XA659"	"Laurentia"	"Sickly"
"XA661"	"Vaalbara"	"Greedy"
"XA662"	"Laurentia"	NA
"XA665"	"Pangaea"	"Bustling"
"XA666"	"Rodinia"	"Palpable"
"XA671"	"Pangaea"	"Geeky"
"XA672"	"Amasia"	"Bustling"
"XA674"	"Gondwana"	"Geeky"
"XA675"	"Pangaea"	"Sickly"
"XA677"	"Pangaea"	"Wordy"
"XA678"	"Gondwana"	"Palpable"
"XA681"	"Rodinia"	"Stodgy"
"XA683"	"Amasia"	"Stringy"
"XA684"	"Pangaea"	"Stodgy"
"XA686"	"Gondwana"	"Bustling"
"XA688"	"Rodinia"	"Geeky"
"XA691"	"Gondwana"	"Stringy"
"XA692"	"Amasia"	"Greedy"
"XA695"	"Baltica"	"Palpable"
"XA696"	"Pangaea"	"Geeky"
"XA699"	"Vaalbara"	"Sickly"
"XA705"	"Vaalbara"	"Bustling"
"XA709"	"Vaalbara"	"Stodgy"
"XA713"	"Amasia"	"Whimsical"
"XA715"	"Baltica"	"Greedy"
"XA723"	"Pangaea"	"Whimsical"
"XA727"	"Gondwana"	"Geeky"
"XA731"	"Gondwana"	"Greedy"
"XA732"	"Baltica"	"Stringy"
"XA735"	"Gondwana"	"Bouncy"
"XA736"	"Amasia"	"Sickly"
"XA738"	"Pangaea"	"Sickly"
"XA740"	"Vaalbara"	"Bouncy"
"XA742"	"Gondwana"	"Greedy"
"XA746"	"Rodinia"	"Whimsical"
"XA749"	"Laurentia"	"Bustling"
"XA753"	"Vaalbara"	NA
"XA755"	"Rodinia"	"Greedy"
"XA756"	"Baltica"	"Whimsical"
"XA757"	"Vaalbara"	"Geeky"
"XA760"	"Gondwana"	"Geeky"
"XA761"	"Baltica"	"Whimsical"
"XA762"	"Amasia"	"Stodgy"
"XA764"	"Gondwana"	"Sickly"
"XA766"	"Gondwana"	"Greedy"
"XA771"	"Rodinia"	NA
"XA778"	"Vaalbara"	"Stringy"
"XA779"	"Baltica"	"Bouncy"
"XA781"	"Amasia"	"Greedy"
"XA785"	"Laurentia"	"Bouncy"
"XA789"	"Laurentia"	"Whimsical"
"XA790"	"Baltica"	"Geeky"
"XA791"	"Vaalbara"	"Greedy"
"XA796"	"Rodinia"	"Greedy"
"XA797"	"Vaalbara"	"Stringy"
"XA801"	"Pangaea"	"Bouncy"
"XA802"	"Rodinia"	"Whimsical"
"XA804"	"Vaalbara"	"Sickly"
"XA805"	"Rodinia"	"Stringy"
"XA806"	"Gondwana"	"Whimsical"
"XA807"	"Vaalbara"	"Bustling"
"XA809"	"Vaalbara"	"Sickly"
"XA813"	"Amasia"	"Greedy"
"XA814"	"Vaalbara"	"Bouncy"
"XA816"	"Amasia"	"Stringy"
"XA818"	"Baltica"	"Greedy"
"XA819"	"Vaalbara"	"Bustling"
"XA821"	"Laurentia"	"Whimsical"
"XA826"	"Laurentia"	"Whimsical"
"XA833"	"Gondwana"	"Stringy"
"XA839"	"Vaalbara"	"Bustling"
"XA842"	"Baltica"	"Bustling"
"XA848"	"Pangaea"	"Bouncy"
"XA850"	"Rodinia"	"Whimsical"
"XA852"	"Laurentia"	"Geeky"
"XA853"	"Baltica"	"Whimsical"
"XA854"	"Pangaea"	"Whimsical"
"XA855"	"Pangaea"	"Greedy"
"XA856"	"Pangaea"	"Greedy"
"XA857"	"Vaalbara"	"Palpable"
"XA861"	"Rodinia"	"Geeky"
"XA862"	"Gondwana"	"Bouncy"
"XA863"	"Amasia"	NA
"XA868"	"Amasia"	"Sickly"
"XA869"	"Pangaea"	"Wordy"
"XA870"	"Laurentia"	"Palpable"
"XA874"	"Gondwana"	"Bustling"
"XA875"	"Amasia"	"Sickly"
"XA878"	"Pangaea"	"Palpable"
"XA882"	"Amasia"	"Bouncy"
"XA884"	"Pangaea"	"Palpable"
"XA885"	"Amasia"	"Whimsical"
"XA887"	"Pangaea"	"Bouncy"
"XA888"	"Rodinia"	"Sickly"
"XA890"	"Pangaea"	"Greedy"
"XA891"	"Amasia"	"Stodgy"
"XA893"	"Rodinia"	"Stodgy"
"XA894"	"Rodinia"	"Geeky"
"XA896"	"Rodinia"	"Wordy"
"XA898"	"Gondwana"	"Geeky"
"XA899"	"Baltica"	"Greedy"
"XA901"	"Laurentia"	"Bustling"
"XA907"	"Vaalbara"	"Whimsical"
"XA908"	"Baltica"	"Greedy"
"XA915"	"Rodinia"	"Greedy"
"XA918"	"Gondwana"	"Palpable"
"XA920"	"Pangaea"	"Bustling"
"XA931"	"Amasia"	"Greedy"
"XA940"	"Vaalbara"	"Whimsical"
"XA942"	"Pangaea"	NA
"XA946"	"Amasia"	"Palpable"
"XA948"	"Amasia"	"Sickly"
"XA952"	"Pangaea"	"Bustling"
"XA954"	"Laurentia"	"Palpable"
"XA955"	"Vaalbara"	"Greedy"
"XA957"	"Vaalbara"	"Stodgy"
"XA959"	"Laurentia"	"Stodgy"
"XA962"	"Gondwana"	"Sickly"
"XA966"	"Baltica"	"Bustling"
"XA967"	"Vaalbara"	"Geeky"
"XA970"	"Rodinia"	"Geeky"
"XA973"	"Baltica"	"Geeky"
"XA980"	"Rodinia"	"Stringy"
"XA982"	"Amasia"	"Greedy"
"XA984"	"Laurentia"	"Greedy"
"XA986"	"Rodinia"	"Bouncy"
"XA990"	"Amasia"	"Bustling"
"XA993"	"Baltica"	"Greedy"
